trip_id,fare_amount,pickup_datetime,passenger_count,pickup_latitude,pickup_longitude,drop_latitude,drop_longitude
54,452.67,2024-01-03 05:00:00,3,18.582015,73.862389,18.488961,73.788047
55,319.05,2024-01-03 06:00:00,1,18.527239,73.912718,18.504911,73.979526
56,464.84,2024-01-03 07:00:00,1,18.620933,73.961291,18.632396,73.819105
57,89.82,2024-01-03 08:00:00,4,18.68031,73.914226,18.598411,73.726128
58,138.19,2024-01-03 09:00:00,3,18.677671,73.940518,18.455559,73.88512
59,70.35,2024-01-03 10:00:00,2,18.535252,73.801835,18.452233,73.734152
60,196.4,2024-01-03 11:00:00,4,18.433971,73.944448,18.429519,73.803567
61,224.9,2024-01-03 12:00:00,1,18.695452,73.724034,18.598091,73.852224
62,172.11,2024-01-03 13:00:00,1,18.651669,73.968445,18.629312,73.962267
63,422.93,2024-01-03 14:00:00,3,18.437399,73.864278,18.479514,73.848064
64,210.54,2024-01-03 15:00:00,1,18.676253,73.945189,18.406283,73.910678
65,176.42,2024-01-03 16:00:00,2,18.660969,73.835695,18.424652,73.997845
66,294.21,2024-01-03 17:00:00,3,18.555651,73.893073,18.690358,73.739447
67,113.42,2024-01-03 18:00:00,1,18.577383,73.857921,18.488633,73.782419
68,410.99,2024-01-03 19:00:00,3,18.519701,73.919477,18.630767,73.818373
69,83.55,2024-01-03 20:00:00,1,18.416428,73.724489,18.587399,73.826548
70,494.1,2024-01-03 21:00:00,1,18.500559,73.718106,18.514582,73.823306
71,397.51,2024-01-03 22:00:00,1,18.640856,73.774131,18.461706,73.972283
72,139.42,2024-01-03 23:00:00,2,18.40139,73.747863,18.436416,73.91421
73,52.48,2024-01-04 00:00:00,2,18.50005,73.961535,18.584504,73.882372
74,416.96,2024-01-04 01:00:00,3,18.519451,73.765764,18.63239,73.792812
75,368.09,2024-01-04 02:00:00,1,18.561219,73.99276,18.593171,73.947137
76,378.05,2024-01-04 03:00:00,1,18.675957,73.801069,18.559091,73.986518
77,397.07,2024-01-04 04:00:00,2,18.503904,73.754635,18.412585,73.946359
78,83.32,2024-01-04 05:00:00,1,18.504086,73.93691,18.690547,73.70047
79,211.31,2024-01-04 06:00:00,2,18.62125,73.897612,18.639614,73.89092
80,102.14,2024-01-04 07:00:00,1,18.535665,73.849459,18.487847,73.715341
81,438.4,2024-01-04 08:00:00,3,18.467381,73.866609,18.693991,73.777282
82,330.48,2024-01-04 09:00:00,1,18.535732,73.915761,18.580564,73.717857
83,198.9,2024-01-04 10:00:00,1,18.442257,73.768536,18.574727,73.881139
84,78.6,2024-01-04 11:00:00,4,18.452916,73.9989,18.624422,73.905977
85,189.94,2024-01-04 12:00:00,2,18.54951,73.992438,18.643531,73.734346
86,196.33,2024-01-04 13:00:00,1,18.525678,73.895098,18.596944,73.815152
87,378.32,2024-01-04 14:00:00,1,18.674454,73.759863,18.438429,73.836871
88,336.9,2024-01-04 15:00:00,4,18.508718,73.904068,18.50148,73.810716
89,449.25,2024-01-04 16:00:00,4,18.574177,73.72166,18.678425,73.736308
90,262.5,2024-01-04 17:00:00,2,18.589679,73.709196,18.467385,73.825684
91,103.82,2024-01-04 18:00:00,4,18.403928,73.777305,18.51165,73.925353
92,370.96,2024-01-04 19:00:00,3,18.599061,73.838787,18.529623,73.721302
93,392.35,2024-01-04 20:00:00,4,18.453411,73.960482,18.531821,73.724054
94,302.57,2024-01-04 21:00:00,3,18.688321,73.918151,18.583882,73.806431
95,396.94,2024-01-04 22:00:00,2,18.444599,73.922812,18.682923,73.982518
96,272.21,2024-01-04 23:00:00,2,18.524387,73.827648,18.472208,73.900572
97,285.23,2024-01-05 00:00:00,2,18.425605,73.80378,18.43645,73.903601
98,242.39,2024-01-05 01:00:00,2,18.699062,73.811312,18.459241,73.808576
99,61.44,2024-01-05 02:00:00,2,18.550659,73.996295,18.666077,73.878098
100,98.55,2024-01-05 03:00:00,3,18.578616,73.712033,18.593743,73.703039
101,64.14,2024-01-05 04:00:00,3,18.420123,73.960109,18.485772,73.890829
102,336.38,2024-01-05 05:00:00,2,18.624988,73.873603,18.644784,73.973986
103,191.46,2024-01-05 06:00:00,4,18.462972,73.831585,18.658411,73.883772
104,278.86,2024-01-05 07:00:00,1,18.669416,73.917577,18.653954,73.96211
105,458.4,2024-01-05 08:00:00,2,18.461542,73.846001,18.675678,73.917192
106,162.18,2024-01-05 09:00:00,4,18.457206,73.962027,18.475672,73.736168
107,234.67,2024-01-05 10:00:00,1,18.410965,73.970211,18.626513,73.970736
108,390.0,2024-01-05 11:00:00,2,18.54162,73.826516,18.538162,73.719933
109,152.96,2024-01-05 12:00:00,2,18.569452,73.783048,18.6526,73.86019
110,84.64,2024-01-05 13:00:00,3,18.419713,73.877705,18.618547,73.742641
111,180.39,2024-01-05 14:00:00,1,18.632658,73.973709,18.632934,73.703512
112,122.55,2024-01-05 15:00:00,1,18.535987,73.763199,18.596849,73.82661
113,468.36,2024-01-05 16:00:00,4,18.557317,73.88689,18.453229,73.788512
114,413.65,2024-01-05 17:00:00,3,18.532229,73.889468,18.563508,73.8458
115,335.03,2024-01-05 18:00:00,3,18.520229,73.919934,18.695401,73.87316
116,442.16,2024-01-05 19:00:00,3,18.567892,73.73947,18.681216,73.713122
117,411.65,2024-01-05 20:00:00,3,18.446572,73.914747,18.412952,73.736901
118,133.96,2024-01-05 21:00:00,1,18.454578,73.97271,18.449444,73.867593
119,451.65,2024-01-05 22:00:00,1,18.658536,73.753905,18.439519,73.80295
120,292.7,2024-01-05 23:00:00,2,18.683835,73.771263,18.617794,73.918752
121,413.35,2024-01-06 00:00:00,2,18.511993,73.991419,18.645336,73.895687
122,453.24,2024-01-06 01:00:00,3,18.481223,73.754293,18.464053,73.953681
123,193.1,2024-01-06 02:00:00,3,18.5932,73.956316,18.551756,73.907748
124,99.52,2024-01-06 03:00:00,3,18.52262,73.847683,18.652211,73.828979
125,152.57,2024-01-06 04:00:00,2,18.407616,73.774169,18.61984,73.90189
126,242.2,2024-01-06 05:00:00,4,18.446846,73.961225,18.562671,73.782614
127,418.11,2024-01-06 06:00:00,4,18.614792,73.833592,18.577104,73.791894
128,437.33,2024-01-06 07:00:00,2,18.597677,73.854445,18.552508,73.936696
129,53.13,2024-01-06 08:00:00,2,18.408129,73.80777,18.489265,73.833926
130,279.84,2024-01-06 09:00:00,2,18.466592,73.877885,18.569507,73.939514
131,237.83,2024-01-06 10:00:00,2,18.469322,73.749057,18.606666,73.946727
132,149.95,2024-01-06 11:00:00,2,18.601568,73.817324,18.661997,73.957269
133,103.94,2024-01-06 12:00:00,2,18.405913,73.990824,18.590887,73.974991
134,201.93,2024-01-06 13:00:00,3,18.431233,73.77744,18.628336,73.829296
135,474.31,2024-01-06 14:00:00,3,18.639975,73.897021,18.448021,73.79566
136,195.44,2024-01-06 15:00:00,3,18.453563,73.797557,18.538467,73.87466
137,283.46,2024-01-06 16:00:00,3,18.595824,73.932042,18.402799,73.811352
138,366.36,2024-01-06 17:00:00,2,18.471455,73.739262,18.474004,73.880322
139,213.63,2024-01-06 18:00:00,4,18.429832,73.990946,18.617939,73.911676
140,487.3,2024-01-06 19:00:00,1,18.472952,73.836137,18.697543,73.906522
141,483.1,2024-01-06 20:00:00,2,18.61668,73.770815,18.429753,73.812366
142,163.3,2024-01-06 21:00:00,1,18.656709,73.722049,18.520448,73.750058
143,273.76,2024-01-06 22:00:00,4,18.649066,73.750927,18.640021,73.829159
144,185.4,2024-01-06 23:00:00,3,18.519155,73.855932,18.461211,73.742778
145,178.18,2024-01-07 00:00:00,4,18.600426,73.801101,18.566525,73.967029
146,66.6,2024-01-07 01:00:00,2,18.461495,73.948665,18.619921,73.803763
147,324.3,2024-01-07 02:00:00,3,18.487944,73.829266,18.584796,73.746338
148,276.21,2024-01-07 03:00:00,2,18.668901,73.774614,18.456407,73.707634
149,73.17,2024-01-07 04:00:00,3,18.403901,73.885143,18.506615,73.893747
150,175.39,2024-01-07 05:00:00,1,18.425653,73.912033,18.635138,73.891071
151,458.72,2024-01-07 06:00:00,1,18.462366,73.750113,18.566268,73.802181
152,157.8,2024-01-07 07:00:00,1,18.40796,73.750286,18.401569,73.721514
153,115.2,2024-01-07 08:00:00,4,18.454431,73.711001,18.628297,73.822889
154,270.25,2024-01-07 09:00:00,2,18.574912,73.920921,18.410593,73.793365
155,493.54,2024-01-07 10:00:00,4,18.526427,73.899141,18.62372,73.903136
156,158.92,2024-01-07 11:00:00,1,18.667802,73.842389,18.460744,73.881734
157,352.46,2024-01-07 12:00:00,2,18.645233,73.953251,18.687422,73.809378
158,392.73,2024-01-07 13:00:00,1,18.502545,73.941701,18.510382,73.765368
159,156.94,2024-01-07 14:00:00,4,18.477827,73.875606,18.498079,73.996411
160,377.7,2024-01-07 15:00:00,4,18.513908,73.960481,18.444666,73.8362
161,215.5,2024-01-07 16:00:00,4,18.577088,73.761752,18.491681,73.906482
162,334.54,2024-01-07 17:00:00,1,18.480419,73.733576,18.662995,73.742166
163,335.09,2024-01-07 18:00:00,2,18.587245,73.780925,18.6989,73.845677
164,291.1,2024-01-07 19:00:00,2,18.522823,73.717126,18.510493,73.708261
165,90.63,2024-01-07 20:00:00,1,18.565614,73.859351,18.534583,73.851637
166,425.89,2024-01-07 21:00:00,2,18.530838,73.980982,18.616621,73.989205
167,194.35,2024-01-07 22:00:00,1,18.48834,73.711803,18.665859,73.815262
168,133.93,2024-01-07 23:00:00,2,18.684536,73.736633,18.577913,73.711699
169,68.35,2024-01-08 00:00:00,3,18.629082,73.83566,18.517458,73.709287
170,315.9,2024-01-08 01:00:00,3,18.442034,73.980163,18.523787,73.816396
171,354.9,2024-01-08 02:00:00,4,18.66054,73.794847,18.608685,73.748007
172,57.46,2024-01-08 03:00:00,3,18.546229,73.85217,18.400965,73.707006
173,280.44,2024-01-08 04:00:00,3,18.668366,73.712472,18.585877,73.926864
174,151.92,2024-01-08 05:00:00,3,18.639957,73.744503,18.506648,73.837557
175,340.33,2024-01-08 06:00:00,1,18.527564,73.995989,18.638259,73.786773
176,128.46,2024-01-08 07:00:00,3,18.406741,73.989536,18.427897,73.970025
177,360.92,2024-01-08 08:00:00,3,18.480603,73.701482,18.576461,73.734842
178,224.03,2024-01-08 09:00:00,4,18.56249,73.985544,18.544292,73.986776
179,471.53,2024-01-08 10:00:00,3,18.590043,73.891736,18.592698,73.79419
180,111.88,2024-01-08 11:00:00,3,18.477366,73.960375,18.419456,73.966521
181,203.48,2024-01-08 12:00:00,2,18.441807,73.836422,18.573995,73.880883
182,101.06,2024-01-08 13:00:00,4,18.650479,73.854679,18.568445,73.948012
183,466.11,2024-01-08 14:00:00,4,18.695321,73.846654,18.568198,73.995204
184,444.8,2024-01-08 15:00:00,4,18.557707,73.900059,18.581046,73.786522
185,166.07,2024-01-08 16:00:00,4,18.451504,73.741895,18.60294,73.988341
186,346.99,2024-01-08 17:00:00,4,18.481692,73.708992,18.641497,73.816845
187,417.75,2024-01-08 18:00:00,4,18.405517,73.792379,18.480946,73.815654
188,299.84,2024-01-08 19:00:00,1,18.67429,73.911404,18.647515,73.802116
189,288.34,2024-01-08 20:00:00,3,18.435325,73.760556,18.549477,73.862422
190,158.83,2024-01-08 21:00:00,4,18.572955,73.90203,18.423117,73.746244
191,91.9,2024-01-08 22:00:00,3,18.482217,73.990974,18.417565,73.866113
192,453.75,2024-01-08 23:00:00,3,18.566253,73.72817,18.500271,73.862511
193,455.19,2024-01-09 00:00:00,1,18.595426,73.901781,18.635469,73.928571
194,334.9,2024-01-09 01:00:00,4,18.648923,73.833125,18.612304,73.950095
195,202.56,2024-01-09 02:00:00,2,18.461926,73.960443,18.636584,73.832132
196,207.14,2024-01-09 03:00:00,1,18.403299,73.753145,18.555181,73.7907
197,376.68,2024-01-09 04:00:00,2,18.441066,73.907788,18.53206,73.7778
198,453.7,2024-01-09 05:00:00,3,18.670006,73.951435,18.444236,73.758387
199,449.19,2024-01-09 06:00:00,3,18.662167,73.983384,18.498458,73.717294
200,400.94,2024-01-09 07:00:00,1,18.579224,73.904974,18.530206,73.802734
201,338.91,2024-01-09 08:00:00,1,18.580155,73.849152,18.42658,73.781074
202,87.86,2024-01-09 09:00:00,2,18.599511,73.885354,18.466184,73.989925
203,122.73,2024-01-09 10:00:00,4,18.452611,73.960671,18.579468,73.867313
204,454.35,2024-01-09 11:00:00,2,18.674324,73.871183,18.620699,73.804183
205,322.89,2024-01-09 12:00:00,1,18.525631,73.709116,18.699504,73.87414
206,54.14,2024-01-09 13:00:00,2,18.514942,73.979285,18.679934,73.741759
207,95.66,2024-01-09 14:00:00,1,18.555675,73.906858,18.59277,73.833213
208,348.58,2024-01-09 15:00:00,2,18.41409,73.902954,18.526374,73.88787
209,52.28,2024-01-09 16:00:00,1,18.449885,73.764703,18.590853,73.846669
210,122.36,2024-01-09 17:00:00,1,18.62141,73.897666,18.635695,73.820534
211,296.93,2024-01-09 18:00:00,1,18.42484,73.818159,18.435501,73.998155
212,361.35,2024-01-09 19:00:00,4,18.580946,73.89537,18.522971,73.964094
213,343.38,2024-01-09 20:00:00,2,18.473605,73.731978,18.651941,73.887022
214,150.92,2024-01-09 21:00:00,2,18.516789,73.897354,18.51515,73.870813
215,370.48,2024-01-09 22:00:00,2,18.486608,73.999824,18.571562,73.886198
216,156.76,2024-01-09 23:00:00,1,18.506702,73.714464,18.576331,73.760394
217,196.43,2024-01-10 00:00:00,2,18.615714,73.993152,18.455343,73.818541
218,385.92,2024-01-10 01:00:00,2,18.489137,73.822072,18.508671,73.711838
219,342.33,2024-01-10 02:00:00,1,18.569921,73.961226,18.500353,73.842664
220,432.15,2024-01-10 03:00:00,3,18.542815,73.934716,18.407859,73.862907
221,345.93,2024-01-10 04:00:00,1,18.599101,73.870105,18.407258,73.768325
222,305.74,2024-01-10 05:00:00,2,18.681049,73.921535,18.649509,73.989209
223,92.15,2024-01-10 06:00:00,1,18.619772,73.963555,18.481921,73.972836
224,215.47,2024-01-10 07:00:00,3,18.464482,73.821242,18.555424,73.916643
225,169.34,2024-01-10 08:00:00,1,18.409355,73.79811,18.489618,73.860016
226,159.8,2024-01-10 09:00:00,2,18.478679,73.900278,18.682204,73.960991
227,487.85,2024-01-10 10:00:00,3,18.578523,73.942354,18.477789,73.739196
228,226.89,2024-01-10 11:00:00,4,18.415428,73.928686,18.528897,73.937153
229,451.42,2024-01-10 12:00:00,2,18.54891,73.939344,18.661819,73.737446
230,334.01,2024-01-10 13:00:00,3,18.579053,73.830675,18.65258,73.938263
231,407.67,2024-01-10 14:00:00,3,18.500273,73.94535,18.45583,73.78273
232,276.19,2024-01-10 15:00:00,4,18.631274,73.736063,18.640793,73.963127
233,309.61,2024-01-10 16:00:00,1,18.431979,73.863347,18.537456,73.983213
234,271.63,2024-01-10 17:00:00,1,18.422541,73.701728,18.544891,73.744639
235,137.86,2024-01-10 18:00:00,2,18.618457,73.797376,18.440044,73.838803
236,375.1,2024-01-10 19:00:00,4,18.548647,73.809938,18.42418,73.994296
237,176.35,2024-01-10 20:00:00,1,18.606521,73.818852,18.618382,73.845022
238,60.94,2024-01-10 21:00:00,4,18.530448,73.90864,18.548938,73.959064
239,340.46,2024-01-10 22:00:00,1,18.473921,73.816567,18.531055,73.876619
240,129.7,2024-01-10 23:00:00,3,18.645731,73.834608,18.618852,73.812599
241,473.21,2024-01-11 00:00:00,1,18.639825,73.771263,18.629654,73.785735
242,479.27,2024-01-11 01:00:00,4,18.608409,73.811976,18.447672,73.760967
243,461.69,2024-01-11 02:00:00,3,18.481644,73.768181,18.583068,73.928539
244,216.57,2024-01-11 03:00:00,3,18.577069,73.721959,18.440606,73.815962
245,56.96,2024-01-11 04:00:00,3,18.508292,73.881035,18.625413,73.853383
246,467.74,2024-01-11 05:00:00,4,18.427475,73.900464,18.597087,73.847698
247,242.68,2024-01-11 06:00:00,2,18.675194,73.885847,18.686984,73.873184
248,484.99,2024-01-11 07:00:00,2,18.441046,73.839048,18.420687,73.959673
249,483.63,2024-01-11 08:00:00,2,18.685071,73.813936,18.417116,73.994222
250,433.85,2024-01-11 09:00:00,4,18.533802,73.959,18.484656,73.822275
251,182.5,2024-01-11 10:00:00,3,18.45554,73.855725,18.478512,73.948256
252,223.29,2024-01-11 11:00:00,2,18.56257,73.843755,18.474094,73.929358
253,433.01,2024-01-11 12:00:00,4,18.661884,73.707693,18.671876,73.872059
254,192.61,2024-01-11 13:00:00,2,18.619667,73.802374,18.474864,73.986814
255,126.27,2024-01-11 14:00:00,1,18.641968,73.814059,18.481585,73.760142
256,300.56,2024-01-11 15:00:00,2,18.597635,73.819647,18.627819,73.732779
257,471.27,2024-01-11 16:00:00,2,18.607683,73.874052,18.534922,73.956189
258,363.21,2024-01-11 17:00:00,3,18.654759,73.860081,18.633013,73.831745
259,306.53,2024-01-11 18:00:00,4,18.4749,73.882372,18.41961,73.954091
260,93.73,2024-01-11 19:00:00,3,18.546827,73.929465,18.546271,73.967927
261,326.75,2024-01-11 20:00:00,3,18.466363,73.943896,18.410084,73.718737
262,495.52,2024-01-11 21:00:00,3,18.6963,73.915437,18.418796,73.965039
263,113.04,2024-01-11 22:00:00,3,18.683218,73.986657,18.671931,73.834496
264,283.25,2024-01-11 23:00:00,3,18.411828,73.70547,18.441774,73.85313
265,444.82,2024-01-12 00:00:00,2,18.611673,73.758733,18.559726,73.887978
266,383.35,2024-01-12 01:00:00,3,18.677574,73.702269,18.523329,73.977915
267,363.66,2024-01-12 02:00:00,3,18.454173,73.894242,18.504203,73.705735
268,366.12,2024-01-12 03:00:00,4,18.570384,73.969409,18.66995,73.843053
269,211.77,2024-01-12 04:00:00,1,18.674646,73.773045,18.406547,73.906317
270,182.12,2024-01-12 05:00:00,2,18.410184,73.97811,18.599137,73.916812
271,414.21,2024-01-12 06:00:00,2,18.609226,73.71808,18.689018,73.90776
272,414.55,2024-01-12 07:00:00,2,18.489205,73.980331,18.56805,73.740331
273,440.18,2024-01-12 08:00:00,3,18.677319,73.805487,18.681047,73.789819
274,460.96,2024-01-12 09:00:00,3,18.691317,73.730426,18.415677,73.807615
275,280.1,2024-01-12 10:00:00,3,18.68328,73.845762,18.525638,73.941331
276,275.68,2024-01-12 11:00:00,4,18.542264,73.777033,18.478047,73.783628
277,409.23,2024-01-12 12:00:00,1,18.658613,73.785462,18.619246,73.763211
278,342.48,2024-01-12 13:00:00,3,18.653365,73.792187,18.694389,73.987234
279,365.89,2024-01-12 14:00:00,1,18.49573,73.940908,18.476959,73.702659
280,408.11,2024-01-12 15:00:00,4,18.648675,73.861748,18.596252,73.999346
281,450.5,2024-01-12 16:00:00,2,18.411102,73.793392,18.459429,73.903046
282,202.1,2024-01-12 17:00:00,3,18.578881,73.8831,18.569599,73.948541
283,219.01,2024-01-12 18:00:00,1,18.469003,73.914845,18.53918,73.788386
284,92.29,2024-01-12 19:00:00,1,18.43617,73.781787,18.691602,73.704295
285,310.23,2024-01-12 20:00:00,3,18.423086,73.824065,18.582558,73.921361
286,66.17,2024-01-12 21:00:00,2,18.608887,73.736566,18.504852,73.950243
287,259.52,2024-01-12 22:00:00,2,18.501962,73.754345,18.434229,73.922143
288,294.19,2024-01-12 23:00:00,2,18.61743,73.904335,18.445374,73.742855
289,178.94,2024-01-13 00:00:00,4,18.419607,73.754432,18.467595,73.926028
290,315.87,2024-01-13 01:00:00,1,18.494587,73.857549,18.47529,73.930677
291,63.73,2024-01-13 02:00:00,1,18.561847,73.912714,18.655185,73.897562
292,66.81,2024-01-13 03:00:00,1,18.637217,73.732063,18.568367,73.929835
293,420.17,2024-01-13 04:00:00,4,18.495626,73.870194,18.557017,73.953776
294,212.09,2024-01-13 05:00:00,1,18.587767,73.776969,18.434431,73.884081
295,107.18,2024-01-13 06:00:00,4,18.665793,73.988878,18.658042,73.726581
296,285.01,2024-01-13 07:00:00,2,18.584759,73.845064,18.616844,73.846288
297,396.5,2024-01-13 08:00:00,3,18.469888,73.941798,18.420301,73.723295
298,147.12,2024-01-13 09:00:00,1,18.40732,73.865068,18.612351,73.822263
299,330.3,2024-01-13 10:00:00,1,18.66103,73.713024,18.563061,73.822132
300,88.41,2024-01-13 11:00:00,2,18.406381,73.889945,18.424518,73.719803
301,73.26,2024-01-13 12:00:00,3,18.662411,73.985421,18.53749,73.804646
302,289.11,2024-01-13 13:00:00,4,18.558681,73.880484,18.545409,73.733299
303,293.29,2024-01-13 14:00:00,3,18.68172,73.945757,18.449732,73.942471
304,336.84,2024-01-13 15:00:00,2,18.639635,73.965262,18.683709,73.984306
305,376.74,2024-01-13 16:00:00,2,18.69938,73.768424,18.654993,73.721695
306,489.13,2024-01-13 17:00:00,3,18.505214,73.763613,18.600707,73.986535
307,282.34,2024-01-13 18:00:00,4,18.630156,73.883294,18.538689,73.856773
308,195.33,2024-01-13 19:00:00,4,18.520579,73.823309,18.52353,73.78987
309,407.83,2024-01-13 20:00:00,1,18.543963,73.951958,18.595292,73.723059
310,171.87,2024-01-13 21:00:00,4,18.588252,73.970007,18.56363,73.850187
311,247.54,2024-01-13 22:00:00,3,18.662103,73.806026,18.418682,73.938355
312,85.31,2024-01-13 23:00:00,2,18.695225,73.771061,18.553751,73.912126
313,61.41,2024-01-14 00:00:00,1,18.630482,73.934158,18.641921,73.715068
314,483.19,2024-01-14 01:00:00,1,18.52533,73.782442,18.537772,73.721871
315,426.19,2024-01-14 02:00:00,2,18.526407,73.946784,18.415587,73.820862
316,363.19,2024-01-14 03:00:00,4,18.621275,73.827121,18.635883,73.788587
317,234.03,2024-01-14 04:00:00,2,18.471633,73.900265,18.460409,73.769715
318,127.98,2024-01-14 05:00:00,4,18.433142,73.728661,18.477586,73.784301
319,120.4,2024-01-14 06:00:00,2,18.506387,73.887158,18.449412,73.941045
320,162.61,2024-01-14 07:00:00,3,18.486172,73.83553,18.499065,73.978768
321,297.15,2024-01-14 08:00:00,4,18.488892,73.875983,18.627025,73.821531
322,371.57,2024-01-14 09:00:00,3,18.470082,73.750404,18.555816,73.971833
323,347.09,2024-01-14 10:00:00,1,18.412628,73.921062,18.461464,73.796449
324,175.97,2024-01-14 11:00:00,2,18.405362,73.958839,18.663349,73.842931
325,479.69,2024-01-14 12:00:00,1,18.696317,73.765022,18.663875,73.767809
326,382.05,2024-01-14 13:00:00,1,18.528332,73.728714,18.661174,73.892143
327,299.46,2024-01-14 14:00:00,1,18.515298,73.707092,18.471639,73.993694
328,325.27,2024-01-14 15:00:00,1,18.603894,73.892591,18.535372,73.881048
329,238.82,2024-01-14 16:00:00,2,18.465476,73.882128,18.695497,73.807344
330,161.48,2024-01-14 17:00:00,1,18.684988,73.864009,18.631604,73.894345
331,210.19,2024-01-14 18:00:00,2,18.635904,73.769584,18.40815,73.736876
332,391.03,2024-01-14 19:00:00,2,18.426823,73.817272,18.419561,73.966598
333,56.48,2024-01-14 20:00:00,3,18.525274,73.878343,18.539179,73.850925
334,102.23,2024-01-14 21:00:00,4,18.663735,73.84903,18.672766,73.834805
335,70.7,2024-01-14 22:00:00,4,18.68342,73.996336,18.561611,73.875759
336,68.33,2024-01-14 23:00:00,2,18.54022,73.740932,18.549344,73.887435
337,434.96,2024-01-15 00:00:00,3,18.584023,73.908543,18.431642,73.721533
338,366.65,2024-01-15 01:00:00,2,18.45011,73.821296,18.597034,73.904785
